,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,896047517,20190101,201901,2019,2019.0027,,,,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,42,42,4,1,1.9,2,1,2,0.0,0,,,,,,,3,"Louisville, Kentucky, United States",US,USKY,38.2542,-85.7594,509453,2,"Kentucky, United States",US,USKY,37.669000000000004,-84.6514,KY,20200101,https://www.whas11.com/article/news/local/man-convicted-of-2014-murder-says-he-should-have-been-pardoned-by-bevin/417-57acce42-8ad3-4274-9a7f-b556334c8e64
1,896047518,20190101,201901,2019,2019.0027,CAN,CANADA,CAN,,,,,,,,GBR,LEEDS,GBR,,,,,,,,0,130,130,13,3,-4.4,1,1,1,-0.7164790174001999,4,"Thousand Islands, Ontario, Canada",CA,CA08,44.3333,-76.0,-574764,4,"Thousand Islands, Ontario, Canada",CA,CA08,44.3333,-76.0,-574764,4,"Thousand Islands, Ontario, Canada",CA,CA08,44.3333,-76.0,-574764,20200101,https://www.recorder.ca/news/local-news/february-council-approves-budget
2,896047519,20190101,201901,2019,2019.0027,CVL,TOURIST,,,,,,CVL,,,GBR,UNITED KINGDOM,GBR,,,,,,,,1,42,42,4,1,1.9,20,4,20,-0.95238095238095,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,20200101,https://www.smh.com.au/world/europe/not-made-for-australians-tourism-minister-defends-new-kylie-ad-campaign-20200101-p53nzl.html
3,896047520,20190101,201901,2019,2019.0027,CYP,CYPRUS,CYP,,,,,,,,GBR,BRITISH,GBR,,,,,,,,1,173,173,17,4,-5.0,8,1,8,-3.75985445724681,4,"Ayia Napa, Famagusta, Cyprus",CY,CY01,34.9917,34.0,-2738120,4,"Aylesbury, Buckinghamshire, United Kingdom",UK,UKB9,51.8167,-0.8,-2588872,4,"Aylesbury, Buckinghamshire, United Kingdom",UK,UKB9,51.8167,-0.8,-2588872,20200101,https://www.dailymail.co.uk/debate/article-7841551/SARAH-VINE-Gang-sex-terrifying-culture-abuse-corroded-minds-young-men.html
4,896047521,20190101,201901,2019,2019.0027,ETH,ETHIOPIA,ETH,,,,,,,,,,,,,,,,,,0,22,22,2,1,3.2,2,1,2,-6.20067643742954,1,Ethiopia,ET,ET,8.0,38.0,ET,0,,,,,,,1,Ethiopia,ET,ET,8.0,38.0,ET,20200101,https://timesofindia.indiatimes.com/blogs/extraordinaryissue/our-house-is-on-fire/
5,896047522,20190101,201901,2019,2019.0027,ETH,ETHIOPIA,ETH,,,,,,,,,,,,,,,,,,0,22,22,2,1,3.2,2,1,2,-6.20067643742954,1,India,IN,IN,20.0,77.0,IN,0,,,,,,,1,India,IN,IN,20.0,77.0,IN,20200101,https://timesofindia.indiatimes.com/blogs/extraordinaryissue/our-house-is-on-fire/
6,896047523,20190101,201901,2019,2019.0027,GBR,LEEDS,GBR,,,,,,,,,,,,,,,,,,0,130,130,13,3,-4.4,2,1,2,-0.7164790174001999,4,"Thousand Islands, Ontario, Canada",CA,CA08,44.3333,-76.0,-574764,0,,,,,,,4,"Thousand Islands, Ontario, Canada",CA,CA08,44.3333,-76.0,-574764,20200101,https://www.recorder.ca/news/local-news/february-council-approves-budget
7,896047524,20190101,201901,2019,2019.0027,GBR,LEEDS,GBR,,,,,,,,CAN,CANADA,CAN,,,,,,,,0,130,130,13,3,-4.4,2,1,2,-0.7164790174001999,4,"Thousand Islands, Ontario, Canada",CA,CA08,44.3333,-76.0,-574764,4,"Thousand Islands, Ontario, Canada",CA,CA08,44.3333,-76.0,-574764,4,"Thousand Islands, Ontario, Canada",CA,CA08,44.3333,-76.0,-574764,20200101,https://www.recorder.ca/news/local-news/february-council-approves-budget
8,896047525,20190101,201901,2019,2019.0027,GBR,UNITED KINGDOM,GBR,,,,,,,,CVL,TOURIST,,,,,,CVL,,,1,43,43,4,1,2.8,16,4,16,-0.95238095238095,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,20200101,https://www.smh.com.au/world/europe/not-made-for-australians-tourism-minister-defends-new-kylie-ad-campaign-20200101-p53nzl.html
9,896047526,20190101,201901,2019,2019.0027,GBR,UNITED KINGDOM,GBR,,,,,,,,CVL,TOURIST,,,,,,CVL,,,1,43,43,4,1,2.8,4,4,4,-0.95238095238095,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,20200101,https://www.smh.com.au/world/europe/not-made-for-australians-tourism-minister-defends-new-kylie-ad-campaign-20200101-p53nzl.html
