,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,909343386,20190302,201903,2019,2019.1699,,,,,,,,,,,LEG,PRESIDENT OF THE SENATE,,,,,,LEG,,,1,43,43,4,1,2.8,6,1,6,2.34267340376665,0,,,,,,,5,"Edo State, Edo, Nigeria",NI,NI37,6.5,6.0,29623,5,"Edo State, Edo, Nigeria",NI,NI37,6.5,6.0,29623,20200301,https://thenationonlineng.net/apc-can-akandes-committee-end-partys-internal-rifts/
1,909343387,20190302,201903,2019,2019.1699,COP,PRISON,,,,,,COP,,,,,,,,,,,,,1,172,172,17,4,-5.0,55,11,55,-3.7302698373655296,1,Iran,IR,IR,32.0,53.0,IR,0,,,,,,,1,Iran,IR,IR,32.0,53.0,IR,20200301,https://www.theguardian.com/film/2020/feb/29/banned-iranian-director-wins-berlin-golden-bear-for-there-is-no-evil
2,909343388,20190302,201903,2019,2019.1699,COP,PRISON,,,,,,COP,,,,,,,,,,,,,1,173,173,17,4,-5.0,78,12,78,-3.9799986334179103,1,Iran,IR,IR,32.0,53.0,IR,0,,,,,,,1,Iran,IR,IR,32.0,53.0,IR,20200301,https://www.theguardian.com/film/2020/feb/29/banned-iranian-director-wins-berlin-golden-bear-for-there-is-no-evil
3,909343389,20190302,201903,2019,2019.1699,GOV,ADMINISTRATION,,,,,,GOV,,,USA,KANSAS,USA,,,,,,,,0,43,43,4,1,2.8,30,3,30,-2.01231374488967,2,"Kansas, United States",US,USKS,38.5111,-96.8005,KS,2,"Kansas, United States",US,USKS,38.5111,-96.8005,KS,2,"Kansas, United States",US,USKS,38.5111,-96.8005,KS,20200301,https://www.hutchnews.com/opinion/20200229/dick-bond-dave-kerr-and-steve-morris-wagle-needs-to-put-people-of-kansas-first
4,909343390,20190302,201903,2019,2019.1699,GOV,PRESIDENT,,,,,,GOV,,,USA,UNITED STATES,USA,,,,,,,,0,51,51,5,1,3.4,4,4,4,1.2368726820804299,1,Iran,IR,IR,32.0,53.0,IR,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,1,Iran,IR,IR,32.0,53.0,IR,20200301,https://mynorthwest.com/1741336/trump-says-getting-rid-of-bad-people-made-him-successful/
5,909343391,20190302,201903,2019,2019.1699,GOV,PRESIDENT,,,,,,GOV,,,USA,UNITED STATES,USA,,,,,,,,0,51,51,5,1,3.4,39,39,39,1.3853108195413997,1,Iran,IR,IR,32.0,53.0,IR,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,1,Italy,IT,IT,42.833333,12.833333,IT,20200301,http://www.startribune.com/trump-says-getting-rid-of-bad-people-made-him-successful/568350672/
6,909343392,20190302,201903,2019,2019.1699,GOV,PRESIDENT,,,,,,GOV,,,USA,UNITED STATES,USA,,,,,,,,0,51,51,5,1,3.4,58,58,58,1.30877800935492,1,South Korea,KS,KS,37.0,127.5,KS,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,1,South Korea,KS,KS,37.0,127.5,KS,20200301,https://www.sfgate.com/news/article/Trump-says-getting-rid-of-bad-people-made-him-15095564.php
7,909343393,20190302,201903,2019,2019.1699,GOV,PRESIDENT,,,,,,GOV,,,USA,UNITED STATES,USA,,,,,,,,0,51,51,5,1,3.4,14,14,14,1.12781954887218,2,"Maryland, United States",US,USMD,39.0724,-76.7902,MD,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20200301,https://www.sfgate.com/news/article/Trump-says-getting-rid-of-bad-people-made-him-15095564.php
8,909343394,20190302,201903,2019,2019.1699,IRN,IRAN,IRN,,,,,,,,,,,,,,,,,,1,172,172,17,4,-5.0,10,5,10,-3.34263233009994,1,Iran,IR,IR,32.0,53.0,IR,0,,,,,,,1,Iran,IR,IR,32.0,53.0,IR,20200301,https://www.theguardian.com/film/2020/feb/29/banned-iranian-director-wins-berlin-golden-bear-for-there-is-no-evil
9,909343395,20190302,201903,2019,2019.1699,IRN,IRAN,IRN,,,,,,,,COP,PRISON,,,,,,COP,,,1,173,173,17,4,-5.0,17,5,17,-3.34263233009994,1,Iran,IR,IR,32.0,53.0,IR,1,Iran,IR,IR,32.0,53.0,IR,1,Iran,IR,IR,32.0,53.0,IR,20200301,https://www.theguardian.com/film/2020/feb/29/banned-iranian-director-wins-berlin-golden-bear-for-there-is-no-evil
10,909343396,20190302,201903,2019,2019.1699,IRN,IRAN,IRN,,,,,,,,COP,PRISON,,,,,,COP,,,1,173,173,17,4,-5.0,1,1,1,-3.1724137931034497,1,Italy,IT,IT,42.833333,12.833333,IT,1,Italy,IT,IT,42.833333,12.833333,IT,1,Italy,IT,IT,42.833333,12.833333,IT,20200301,https://www.theguardian.com/film/2020/feb/29/banned-iranian-director-wins-berlin-golden-bear-for-there-is-no-evil
11,909343397,20190302,201903,2019,2019.1699,LEG,PRESIDENT OF THE SENATE,,,,,,LEG,,,,,,,,,,,,,1,42,42,4,1,1.9,6,1,6,2.34267340376665,5,"Delta State, Delta, Nigeria",NI,NI36,5.5,6.0,29267,0,,,,,,,5,"Delta State, Delta, Nigeria",NI,NI36,5.5,6.0,29267,20200301,https://thenationonlineng.net/apc-can-akandes-committee-end-partys-internal-rifts/
12,909343398,20190302,201903,2019,2019.1699,LEG,PRESIDENT OF THE SENATE,,,,,,LEG,,,NGA,NIGERIA,NGA,,,,,,,,1,43,43,4,1,2.8,4,1,4,2.34267340376665,5,"Edo State, Edo, Nigeria",NI,NI37,6.5,6.0,29623,4,"Osun, Nigeria (general), Nigeria",NI,NI00,7.53333,4.05,-2024291,5,"Edo State, Edo, Nigeria",NI,NI37,6.5,6.0,29623,20200301,https://thenationonlineng.net/apc-can-akandes-committee-end-partys-internal-rifts/
13,909343399,20190302,201903,2019,2019.1699,MNCUSA,T. ROWE PRICE,USA,,,,,MNC,,,,,,,,,,,,,0,26,26,2,1,4.0,50,5,50,-0.902052333598904,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,0,,,,,,,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,20200301,https://www.washtimesherald.com/news/national_news/baltimore-squeegee-kids-find-work-risks-cash-at-stoplights/article_cd9ff4e0-1375-5cad-a047-6eaf1cf2866f.html
14,909343400,20190302,201903,2019,2019.1699,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,0,20,20,2,1,3.0,4,2,4,-11.9205298013245,3,"Calhoun County, Alabama, United States",US,USAL,33.7504,-85.85,161533,0,,,,,,,3,"Calhoun County, Alabama, United States",US,USAL,33.7504,-85.85,161533,20200301,https://www.trussvilletribune.com/2020/02/29/originally-sentenced-to-die-man-gets-life-for-1998-slaying/
15,909343401,20190302,201903,2019,2019.1699,USA,UNITED STATES,USA,,,,,,,,JUD,PROSECUTOR,,,,,,JUD,,,0,10,10,1,1,0.0,4,2,4,-11.9205298013245,3,"Calhoun County, Alabama, United States",US,USAL,33.7504,-85.85,161533,3,"Calhoun County, Alabama, United States",US,USAL,33.7504,-85.85,161533,3,"Calhoun County, Alabama, United States",US,USAL,33.7504,-85.85,161533,20200301,https://www.trussvilletribune.com/2020/02/29/originally-sentenced-to-die-man-gets-life-for-1998-slaying/
16,909343402,20190302,201903,2019,2019.1699,USA,UNITED STATES,USA,,,,,,,,JUD,PROSECUTOR,,,,,,JUD,,,0,20,20,2,1,3.0,4,2,4,-11.9205298013245,3,"Calhoun County, Alabama, United States",US,USAL,33.7504,-85.85,161533,3,"Calhoun County, Alabama, United States",US,USAL,33.7504,-85.85,161533,3,"Calhoun County, Alabama, United States",US,USAL,33.7504,-85.85,161533,20200301,https://www.trussvilletribune.com/2020/02/29/originally-sentenced-to-die-man-gets-life-for-1998-slaying/
17,909343403,20190302,201903,2019,2019.1699,USA,THE US,USA,,,,,,,,JUD,ADVOCATE,,,,,,JUD,,,0,130,130,13,3,-4.4,760,76,760,-6.733242311057889,1,Puerto Rico,RQ,RQ,18.2359,-66.4838,RQ,1,Puerto Rico,RQ,RQ,18.2359,-66.4838,RQ,1,Puerto Rico,RQ,RQ,18.2359,-66.4838,RQ,20200301,https://www.jacksonprogress-argus.com/news/world_nation/a-transgender-woman-s-brutal-murder-has-shocked-puerto-rico/article_ccc0832d-6f4a-5b12-bbc0-a5ad7cb59eb6.html
18,909343404,20200131,202001,2020,2020.0849,CHN,CHINA,CHN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,43,43,4,1,2.8,28,7,28,-3.4461998355134904,4,"Wuhan, Hubei, China",CH,CH12,30.5833,114.26700000000001,-1930776,1,South Korea,KS,KS,37.0,127.5,KS,4,"Wuhan, Hubei, China",CH,CH12,30.5833,114.26700000000001,-1930776,20200301,http://www.xinhuanet.com/english/2020-03/01/c_138830980.htm
19,909343405,20200131,202001,2020,2020.0849,CHN,CHINA,CHN,,,,,,,,USA,WASHINGTON,USA,,,,,,,,1,43,43,4,1,2.8,6,2,6,-3.2020451956825298,3,"Snohomish County, Washington, United States",US,USWA,48.0498,-121.71799999999999,1529222,3,"King County, Washington, United States",US,USWA,47.4665,-121.818,1531933,3,"Snohomish County, Washington, United States",US,USWA,48.0498,-121.71799999999999,1529222,20200301,http://www.xinhuanet.com/english/2020-03/01/c_138830980.htm
20,909343406,20200131,202001,2020,2020.0849,USA,WASHINGTON,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,42,42,4,1,1.9,27,3,27,-2.93180265401277,4,"Wuhan, Hubei, China",CH,CH12,30.5833,114.26700000000001,-1930776,1,Japan,JA,JA,36.0,138.0,JA,1,Japan,JA,JA,36.0,138.0,JA,20200301,http://www.xinhuanet.com/english/2020-03/01/c_138830980.htm
21,909343407,20200131,202001,2020,2020.0849,USA,WASHINGTON,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,42,42,4,1,1.9,6,2,6,-3.2020451956825298,3,"King County, Washington, United States",US,USWA,47.4665,-121.818,1531933,3,"Snohomish County, Washington, United States",US,USWA,48.0498,-121.71799999999999,1529222,3,"Snohomish County, Washington, United States",US,USWA,48.0498,-121.71799999999999,1529222,20200301,http://www.xinhuanet.com/english/2020-03/01/c_138830980.htm
22,909343408,20200131,202001,2020,2020.0849,USA,UNITED STATES,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,42,42,4,1,1.9,18,7,18,-3.4461998355134904,1,South Korea,KS,KS,37.0,127.5,KS,4,"Wuhan, Hubei, China",CH,CH12,30.5833,114.26700000000001,-1930776,4,"Wuhan, Hubei, China",CH,CH12,30.5833,114.26700000000001,-1930776,20200301,http://www.xinhuanet.com/english/2020-03/01/c_138830980.htm
23,909343409,20200223,202002,2020,2020.1452,AUS,AUSTRALIA,AUS,,,,,,,,GOV,KING,,,,,,GOV,,,1,30,30,3,1,4.0,2,1,2,3.89429763560501,4,"Menangle, New South Wales, Australia",AS,AS02,-34.1268,150.739,-1586921,4,"Menangle, New South Wales, Australia",AS,AS02,-34.1268,150.739,-1586921,4,"Menangle, New South Wales, Australia",AS,AS02,-34.1268,150.739,-1586921,20200301,http://www.harnesslink.com/International/King-swings-into-favouritism
24,909343410,20200223,202002,2020,2020.1452,AUS,AUSTRALIA,AUS,,,,,,,,GOV,KING,,,,,,GOV,,,1,30,30,3,1,4.0,2,1,2,3.89429763560501,2,"Montana, United States",US,USMT,46.9048,-110.32600000000001,MT,2,"Montana, United States",US,USMT,46.9048,-110.32600000000001,MT,2,"Montana, United States",US,USMT,46.9048,-110.32600000000001,MT,20200301,http://www.harnesslink.com/International/King-swings-into-favouritism
