,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
13,902967858,20190201,201902,2019,2019.0849,GOV,GOVERNMENT,,,,,,GOV,,,AUS,QUEENSLAND,AUS,,,,,,,,0,51,51,5,1,3.4,3,1,3,2.4390243902438997,4,"Collinsville, Queensland, Australia",AS,AS04,-20.5522,147.844,-1566444,4,"Collinsville, Queensland, Australia",AS,AS04,-20.5522,147.844,-1566444,4,"Collinsville, Queensland, Australia",AS,AS04,-20.5522,147.844,-1566444,20200201,https://www.themorningbulletin.com.au/news/canavan-looks-forward-to-2020/3933932/
14,902967859,20190201,201902,2019,2019.0849,GOV,GOVERNMENT,,,,,,GOV,,,AUS,QUEENSLAND,AUS,,,,,,,,0,51,51,5,1,3.4,2,1,2,2.4390243902438997,4,"Rockhampton, Queensland, Australia",AS,AS04,-23.3803,150.506,-1597814,4,"Rockhampton, Queensland, Australia",AS,AS04,-23.3803,150.506,-1597814,4,"Rockhampton, Queensland, Australia",AS,AS04,-23.3803,150.506,-1597814,20200201,https://www.themorningbulletin.com.au/news/canavan-looks-forward-to-2020/3933932/
15,902967860,20190201,201902,2019,2019.0849,GOV,GOVERNOR,,,,,,GOV,,,USA,UNITED STATES,USA,,,,,,,,0,129,129,12,3,-5.0,4,1,4,-2.5,2,"California, United States",US,USCA,36.17,-119.74600000000001,CA,2,"California, United States",US,USCA,36.17,-119.74600000000001,CA,2,"California, United States",US,USCA,36.17,-119.74600000000001,CA,20200201,https://www.recordnet.com/news/20200131/californias-most-controversial-homebuilding-bill-just-died
16,902967861,20190201,201902,2019,2019.0849,LEG,CONGRESS,,,,,,LEG,,,,,,,,,,,,,0,190,190,19,4,-10.0,6,1,6,-5.010893246187369,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,0,,,,,,,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20200201,https://www.ourmidland.com/business/technology/article/FCC-At-least-1-phone-company-broke-law-by-15020903.php
17,902967862,20190201,201902,2019,2019.0849,LEG,CONGRESS,,,,,,LEG,,,,,,,,,,,,,1,190,190,19,4,-10.0,12,2,12,-5.35992806213395,1,United States,US,US,39.828175,-98.5795,US,0,,,,,,,1,United States,US,US,39.828175,-98.5795,US,20200201,https://www.news4jax.com/news/politics/2020/01/31/fcc-at-least-1-phone-company-broke-law-by-sharing-location/
18,902967863,20190201,201902,2019,2019.0849,LEG,CONGRESS,,,,,,LEG,,,USA,UNITED STATES,USA,,,,,,,,1,190,190,19,4,-10.0,52,13,52,-5.33233513810279,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,20200201,https://www.news4jax.com/news/politics/2020/01/31/fcc-at-least-1-phone-company-broke-law-by-sharing-location/
19,902967864,20190201,201902,2019,2019.0849,PHL,PHILIPPINE,PHL,,,,,,,,,,,,,,,,,,1,43,43,4,1,2.8,4,1,4,1.1940298507462699,4,"Ilocano, La Union, Philippines",RP,RP36,16.9018,120.488,-2428423,0,,,,,,,4,"Ilocano, La Union, Philippines",RP,RP36,16.9018,120.488,-2428423,20200201,https://www.venezuelastar.com/news/263884458/visitor-arrival-at-national-museum-in-the-ilocos-up-by-12-in-2019
20,902967865,20190201,201902,2019,2019.0849,RUS,RUSSIAN,RUS,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,190,190,19,4,-10.0,2,2,2,-4.08267851042023,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20200201,https://www.commercialappeal.com/story/news/politics/2020/01/31/trump-impeachment-trial-senate-could-acquit-president-friday/2856596001/
21,902967866,20190201,201902,2019,2019.0849,RUS,RUSSIAN,RUS,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,190,190,19,4,-10.0,33,33,33,-4.17938482517069,1,Russia,RS,RS,60.0,100.0,RS,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,20200201,https://www.commercialappeal.com/story/news/politics/2020/01/31/trump-impeachment-trial-senate-could-acquit-president-friday/2856596001/
22,902967867,20190201,201902,2019,2019.0849,UAF,GUNMAN,,,,,,UAF,,,,,,,,,,,,,0,15,15,1,1,0.0,10,1,10,-7.064017660044151,4,"Quebec, Quebec, Canada",CA,CA10,47.5,-72.0,-571850,0,,,,,,,4,"Quebec, Quebec, Canada",CA,CA10,47.5,-72.0,-571850,20200201,https://montreal.ctvnews.ca/legault-won-t-alert-police-to-hateful-comments-about-muslims-on-his-facebook-post-1.4792046
